43.223.0.0/16,"ASN 38631"
103.2.28.0/24,"ASN 38631"
103.2.30.0/23,"ASN 38631"
103.2.244.0/22,"ASN 55898"
104.145.16.0/20,"ASN 18140"
118.151.224.0/19,"ASN 23816"
119.235.224.0/24,"ASN 38631"
119.235.232.0/24,"ASN 38631"
119.235.235.0/24,"ASN 38631"
119.235.236.0/23,"ASN 38631"
147.92.128.0/17,"ASN 38631"
182.22.0.0/17,"ASN 23816"
202.93.64.0/19,"ASN 23816"
202.239.0.0/20,"ASN 23816"
203.104.128.0/20,"ASN 38631"
203.104.144.0/21,"ASN 38631"
203.104.152.0/22,"ASN 38631"
203.104.156.0/23,"ASN 38631"
203.104.158.0/24,"ASN 38631"
203.141.32.0/20,"ASN 23816"
203.141.54.0/24,"ASN 55898"
203.216.224.0/19,"ASN 23816"
210.171.36.0/22,"ASN 24296"
210.171.60.0/22,"ASN 24296"
210.229.224.0/19,"ASN 24296"
210.250.224.0/19,"ASN 24296"
210.252.64.0/19,"ASN 24296"
211.14.8.0/24,"ASN 55898"
211.14.12.0/22,"ASN 23816"
211.14.26.0/23,"ASN 55898"
211.14.28.0/23,"ASN 55898"
219.100.146.0/23,"ASN 131898"
2400:dcc0::/32,"ASN 38631"
2404:a600::/32,"ASN 23816"
2405:8500::/32,"ASN 55898"
