2.24.0.0/13,"ASN 12576"
31.97.0.0/16,"ASN 12576"
31.98.0.0/15,"ASN 12576"
31.100.0.0/14,"ASN 12576"
31.105.0.0/16,"ASN 12576"
31.106.0.0/15,"ASN 12576"
31.116.0.0/16,"ASN 12576"
31.122.0.0/15,"ASN 12576"
31.124.0.0/16,"ASN 12576"
46.68.0.0/18,"ASN 12576"
46.68.64.0/23,"ASN 12576"
46.68.67.0/24,"ASN 12576"
46.68.68.0/22,"ASN 12576"
46.68.72.0/21,"ASN 12576"
46.68.80.0/20,"ASN 12576"
46.68.96.0/19,"ASN 12576"
46.68.128.0/17,"ASN 12576"
46.69.0.0/16,"ASN 12576"
87.237.16.0/21,"ASN 12576"
91.110.0.0/15,"ASN 12576"
95.144.0.0/13,"ASN 12576"
109.249.0.0/16,"ASN 12576"
149.254.0.0/17,"ASN 12576"
149.254.128.0/18,"ASN 12576"
149.254.192.0/21,"ASN 12576"
149.254.200.0/24,"ASN 12576"
149.254.202.0/23,"ASN 12576"
149.254.204.0/22,"ASN 12576"
149.254.208.0/20,"ASN 12576"
149.254.224.0/19,"ASN 12576"
193.35.128.0/20,"ASN 12576"
193.36.78.0/23,"ASN 12576"
193.36.81.0/24,"ASN 12576"
193.36.82.0/23,"ASN 12576"
194.35.183.0/24,"ASN 12576"
194.36.212.0/23,"ASN 12576"
194.36.214.0/24,"ASN 12576"
213.205.192.0/20,"ASN 12576"
213.205.224.0/19,"ASN 12576"
2a01:4c8::/33,"ASN 12576"
2a01:4c8:8000::/34,"ASN 12576"
2a01:4c8:c000::/35,"ASN 12576"
2a01:4c8:e000::/36,"ASN 12576"
2a01:4c8:f000::/38,"ASN 12576"
2a01:4c8:f400::/48,"ASN 12576"
2a01:4c8:f402::/47,"ASN 12576"
2a01:4c8:f404::/46,"ASN 12576"
2a01:4c8:f408::/45,"ASN 12576"
2a01:4c8:f410::/44,"ASN 12576"
2a01:4c8:f420::/43,"ASN 12576"
2a01:4c8:f440::/42,"ASN 12576"
2a01:4c8:f480::/41,"ASN 12576"
2a01:4c8:f500::/40,"ASN 12576"
2a01:4c8:f600::/39,"ASN 12576"
2a01:4c8:f800::/37,"ASN 12576"
2a01:4c9::/32,"ASN 12576"
2a01:4ca::/31,"ASN 12576"
2a01:4cc::/30,"ASN 12576"
2a06:24c0::/29,"ASN 12576"
