8.17.66.0/24,"ASN 46639"
12.219.9.0/24,"ASN 7046"
13.20.129.0/24,"ASN 7046"
13.20.136.0/24,"ASN 7046"
13.20.138.0/23,"ASN 7046"
13.20.140.0/24,"ASN 7046"
13.21.128.0/22,"ASN 7046"
13.21.132.0/24,"ASN 7046"
23.29.96.0/20,"ASN 701"
23.183.88.0/24,"ASN 701"
46.34.65.0/24,"ASN 702"
46.34.66.0/23,"ASN 702"
46.34.68.0/22,"ASN 702"
46.34.72.0/21,"ASN 702"
46.34.80.0/21,"ASN 702"
46.34.88.0/23,"ASN 702"
46.34.92.0/22,"ASN 702"
62.9.0.0/16,"ASN 702"
62.17.0.0/19,"ASN 702"
62.17.32.0/22,"ASN 702"
62.17.36.0/23,"ASN 702"
62.17.38.0/24,"ASN 702"
62.17.39.0/24,"ASN 13662"
62.17.40.0/21,"ASN 702"
62.17.48.0/20,"ASN 702"
62.17.64.0/18,"ASN 702"
62.17.128.0/20,"ASN 702"
62.17.144.0/21,"ASN 702"
62.17.152.0/22,"ASN 702"
62.17.157.0/24,"ASN 702"
62.17.158.0/23,"ASN 702"
62.17.160.0/19,"ASN 702"
62.17.192.0/20,"ASN 702"
62.17.208.0/21,"ASN 702"
62.17.216.0/22,"ASN 702"
62.17.220.0/24,"ASN 702"
62.17.222.0/23,"ASN 702"
62.17.224.0/19,"ASN 702"
62.22.0.0/19,"ASN 702"
62.22.32.0/23,"ASN 702"
62.22.34.0/24,"ASN 702"
62.22.36.0/22,"ASN 702"
62.22.40.0/21,"ASN 702"
62.22.48.0/20,"ASN 702"
62.22.64.0/22,"ASN 702"
62.22.69.0/24,"ASN 702"
62.22.70.0/23,"ASN 702"
62.22.72.0/22,"ASN 702"
62.22.76.0/23,"ASN 702"
62.22.78.0/24,"ASN 702"
62.22.80.0/20,"ASN 702"
62.22.96.0/21,"ASN 702"
62.22.105.0/24,"ASN 702"
62.22.106.0/23,"ASN 702"
62.22.108.0/22,"ASN 702"
62.22.112.0/20,"ASN 702"
62.22.128.0/17,"ASN 702"
62.40.64.0/19,"ASN 702"
62.61.64.0/18,"ASN 702"
62.70.0.0/16,"ASN 702"
62.124.0.0/15,"ASN 702"
62.126.0.0/17,"ASN 702"
62.126.160.0/21,"ASN 702"
62.126.224.0/19,"ASN 702"
62.176.32.0/19,"ASN 702"
62.188.0.0/16,"ASN 702"
62.189.0.0/18,"ASN 702"
62.189.64.0/19,"ASN 702"
62.189.96.0/20,"ASN 702"
62.189.112.0/23,"ASN 702"
62.189.115.0/24,"ASN 702"
62.189.116.0/22,"ASN 702"
62.189.120.0/21,"ASN 702"
62.189.128.0/20,"ASN 702"
62.189.144.0/22,"ASN 702"
62.189.148.0/24,"ASN 702"
62.189.149.0/24,"ASN 6984"
62.189.150.0/23,"ASN 702"
62.189.152.0/21,"ASN 702"
62.189.160.0/19,"ASN 702"
62.189.192.0/20,"ASN 702"
62.189.208.0/23,"ASN 702"
62.189.211.0/24,"ASN 702"
62.189.212.0/22,"ASN 702"
62.189.216.0/21,"ASN 702"
62.189.224.0/19,"ASN 702"
62.190.0.0/18,"ASN 702"
62.190.64.0/20,"ASN 702"
62.190.80.0/24,"ASN 702"
62.190.82.0/23,"ASN 702"
62.190.84.0/23,"ASN 702"
62.190.86.0/24,"ASN 702"
62.190.88.0/21,"ASN 702"
62.190.96.0/19,"ASN 702"
62.190.128.0/17,"ASN 702"
62.191.0.0/16,"ASN 702"
62.205.32.0/19,"ASN 702"
62.247.0.0/16,"ASN 702"
62.249.0.0/19,"ASN 702"
63.0.0.0/12,"ASN 701"
63.16.0.0/14,"ASN 701"
63.20.0.0/15,"ASN 701"
63.22.0.0/16,"ASN 701"
63.23.0.0/19,"ASN 701"
63.23.32.0/23,"ASN 701"
63.23.34.0/24,"ASN 6984"
63.23.35.0/24,"ASN 701"
63.23.36.0/22,"ASN 701"
63.23.40.0/21,"ASN 701"
63.23.48.0/23,"ASN 6984"
63.23.50.0/24,"ASN 6984"
63.23.51.0/24,"ASN 701"
63.23.52.0/22,"ASN 701"
63.23.56.0/21,"ASN 701"
63.23.64.0/23,"ASN 6984"
63.23.66.0/24,"ASN 6984"
63.23.67.0/24,"ASN 701"
63.23.68.0/22,"ASN 701"
63.23.72.0/21,"ASN 701"
63.23.80.0/23,"ASN 6984"
63.23.82.0/24,"ASN 6984"
63.23.83.0/24,"ASN 701"
63.23.84.0/22,"ASN 701"
63.23.88.0/21,"ASN 701"
63.23.96.0/19,"ASN 701"
63.23.128.0/17,"ASN 701"
63.24.0.0/17,"ASN 701"
63.24.128.0/18,"ASN 701"
63.24.192.0/21,"ASN 701"
63.24.200.0/23,"ASN 701"
