45.161.148.0/22,"ASN 268603"
45.163.96.0/22,"ASN 268555"
45.179.0.0/22,"ASN 269112"
45.187.236.0/22,"ASN 269489"
45.231.136.0/22,"ASN 267203"
131.0.84.0/22,"ASN 262420"
131.100.68.0/22,"ASN 53143"
168.195.236.0/22,"ASN 53143"
170.0.160.0/22,"ASN 265021"
177.84.176.0/21,"ASN 262420"
177.154.64.0/21,"ASN 267484"
177.154.72.0/21,"ASN 28349"
177.185.160.0/20,"ASN 53008"
177.185.176.0/20,"ASN 267452"
179.107.0.0/21,"ASN 53143"
181.191.76.0/22,"ASN 267452"
186.193.112.0/20,"ASN 53143"
186.194.224.0/20,"ASN 53143"
186.219.96.0/20,"ASN 262420"
187.85.192.0/21,"ASN 267484"
187.85.200.0/21,"ASN 28349"
187.85.208.0/21,"ASN 28349"
187.85.216.0/22,"ASN 267484"
187.85.220.0/22,"ASN 28349"
187.86.112.0/20,"ASN 53067"
187.87.64.0/21,"ASN 53143"
187.87.72.0/21,"ASN 262420"
189.51.128.0/21,"ASN 267484"
189.51.136.0/21,"ASN 28349"
189.51.144.0/21,"ASN 28349"
189.51.152.0/22,"ASN 267484"
189.51.156.0/22,"ASN 28349"
189.113.192.0/21,"ASN 28647"
189.113.200.0/21,"ASN 267484"
189.113.216.0/21,"ASN 262420"
189.126.160.0/21,"ASN 267484"
189.126.168.0/21,"ASN 28349"
189.126.176.0/22,"ASN 28349"
189.126.180.0/22,"ASN 267484"
189.126.184.0/22,"ASN 28349"
189.126.188.0/23,"ASN 28349"
189.126.190.0/23,"ASN 267484"
200.71.68.0/22,"ASN 266206"
201.76.224.0/19,"ASN 28647"
2804:a50::/34,"ASN 28349"
2804:b1c::/32,"ASN 53008"
2804:e50::/32,"ASN 53067"
2804:1a68::/32,"ASN 262420"
2804:3184::/32,"ASN 265021"
2804:41b8::/32,"ASN 267452"
2804:4230::/32,"ASN 267484"
2804:49c8::/32,"ASN 267203"
2804:5f9c::/32,"ASN 269112"
2804:656c::/32,"ASN 269489"
